Epc=1710, Train ADE,FDE = (0.496, 0.902) | time = 34.5
Epc=1715, Train ADE,FDE = (0.475, 0.871) | time = 34.6
Epc=1720, Train ADE,FDE = (0.471, 0.860) | time = 34.6
Epc=1725, Train ADE,FDE = (0.489, 0.893) | time = 34.7
Epc=1730, Train ADE,FDE = (0.500, 0.906) | time = 34.9
Epc=1735, Train ADE,FDE = (0.467, 0.830) | time = 34.7
Epc=1740, Train ADE,FDE = (0.479, 0.864) | time = 34.6
Epc=1745, Train ADE,FDE = (0.471, 0.849) | time = 34.9
Epc=1750, Train ADE,FDE = (0.461, 0.829) | time = 34.9
Epc=1755, Train ADE,FDE = (0.467, 0.834) | time = 34.3
Epc=1760, Train ADE,FDE = (0.448, 0.805) | time = 34.7
Epc=1765, Train ADE,FDE = (0.466, 0.834) | time = 34.5
Epc=1770, Train ADE,FDE = (0.463, 0.828) | time = 34.6
Epc=1775, Train ADE,FDE = (0.477, 0.864) | time = 34.7
Epc=1780, Train ADE,FDE = (0.458, 0.822) | time = 34.5
Epc=1785, Train ADE,FDE = (0.473, 0.833) | time = 34.5
Epc=1790, Train ADE,FDE = (0.451, 0.808) | time = 34.2
Epc=1795, Train ADE,FDE = (0.466, 0.840) | time = 34.4
Epc=1800, Train ADE,FDE = (0.451, 0.797) | time = 34.3
Epc=1805, Train ADE,FDE = (0.459, 0.820) | time = 34.4
Epc=1810, Train ADE,FDE = (0.458, 0.811) | time = 34.8
Epc=1815, Train ADE,FDE = (0.458, 0.819) | time = 34.5
Epc=1820, Train ADE,FDE = (0.460, 0.820) | time = 34.4
Epc=1825, Train ADE,FDE = (0.457, 0.811) | time = 34.3
Epc=1830, Train ADE,FDE = (0.468, 0.838) | time = 34.9
Epc=1835, Train ADE,FDE = (0.459, 0.812) | time = 34.3
Epc=1840, Train ADE,FDE = (0.452, 0.799) | time = 34.6
Epc=1845, Train ADE,FDE = (0.474, 0.853) | time = 34.4
Epc=1850, Train ADE,FDE = (0.483, 0.862) | time = 34.4
Epc=1855, Train ADE,FDE = (0.450, 0.790) | time = 34.4
Epc=1860, Train ADE,FDE = (0.461, 0.829) | time = 34.4
Epc=1865, Train ADE,FDE = (0.460, 0.812) | time = 34.7
Epc=1870, Train ADE,FDE = (0.473, 0.846) | time = 34.8
Epc=1875, Train ADE,FDE = (0.482, 0.865) | time = 34.4
Epc=1880, Train ADE,FDE = (0.477, 0.850) | time = 34.3
Epc=1885, Train ADE,FDE = (0.470, 0.845) | time = 34.2
Epc=1890, Train ADE,FDE = (0.489, 0.864) | time = 34.8
Epc=1895, Train ADE,FDE = (0.475, 0.838) | time = 34.4
Epc=1900, Train ADE,FDE = (0.486, 0.866) | time = 34.3
Epc=1905, Train ADE,FDE = (0.479, 0.848) | time = 34.5
Epc=1910, Train ADE,FDE = (0.496, 0.894) | time = 34.4
Epc=1915, Train ADE,FDE = (0.475, 0.840) | time = 34.7
Epc=1920, Train ADE,FDE = (0.467, 0.820) | time = 34.5
Epc=1925, Train ADE,FDE = (0.492, 0.893) | time = 34.7
Epc=1930, Train ADE,FDE = (0.490, 0.878) | time = 34.5
Epc=1935, Train ADE,FDE = (0.465, 0.829) | time = 34.1
Epc=1940, Train ADE,FDE = (0.487, 0.879) | time = 34.6
Epc=1945, Train ADE,FDE = (0.482, 0.854) | time = 34.3
Epc=1950, Train ADE,FDE = (0.473, 0.844) | time = 34.4
Epc=1955, Train ADE,FDE = (0.484, 0.858) | time = 34.5
Epc=1960, Train ADE,FDE = (0.495, 0.894) | time = 34.6
Epc=1965, Train ADE,FDE = (0.496, 0.895) | time = 34.6
Epc=1970, Train ADE,FDE = (0.465, 0.833) | time = 34.3
Epc=1975, Train ADE,FDE = (0.481, 0.853) | time = 34.8
Epc=1980, Train ADE,FDE = (0.473, 0.844) | time = 34.2
Epc=1985, Train ADE,FDE = (0.491, 0.899) | time = 34.5
Epc=1990, Train ADE,FDE = (0.470, 0.843) | time = 34.2
Epc=1995, Train ADE,FDE = (0.480, 0.855) | time = 34.1
